epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,773.941,0.68367,1.54349,1.15807,0.85243,0.90744,0.91119,0.67308,0.99483,2.18507,1.26214,0.00080992,0.00080992,0.00080992
98,781.703,0.70042,1.54965,1.19906,0.87359,0.90604,0.93833,0.68909,1.02454,2.35948,1.30082,0.00080794,0.00080794,0.00080794
99,789.417,0.70672,1.47764,1.17069,0.82968,0.90361,0.89296,0.66465,1.02644,2.34492,1.2672,0.00080596,0.00080596,0.00080596
100,797.251,0.75545,1.57731,1.24287,0.86207,0.90292,0.88836,0.6283,1.04847,2.42109,1.29592,0.00080398,0.00080398,0.00080398
101,804.97,0.68843,1.50962,1.15395,0.85753,0.92184,0.87869,0.61153,1.03592,2.48823,1.26384,0.000802,0.000802,0.000802
102,813,0.65772,1.46209,1.18368,0.81644,0.89208,0.90422,0.66871,0.97779,2.70951,1.21712,0.00080002,0.00080002,0.00080002
103,820.853,0.69112,1.4539,1.16786,0.88672,0.85961,0.9115,0.66719,0.95649,2.57258,1.21256,0.00079804,0.00079804,0.00079804
104,828.588,0.74337,1.62096,1.21449,0.89491,0.89444,0.89784,0.67842,0.9662,2.34036,1.21791,0.00079606,0.00079606,0.00079606
105,836.335,0.7166,1.53617,1.19977,0.89219,0.88507,0.89473,0.69869,0.92156,2.52013,1.18541,0.00079408,0.00079408,0.00079408
106,844.186,0.68371,1.49131,1.15922,0.8474,0.87986,0.86488,0.65479,0.99674,2.4405,1.2043,0.0007921,0.0007921,0.0007921
107,851.964,0.69381,1.54115,1.18084,0.8991,0.89722,0.88321,0.64035,1.05279,2.49579,1.26443,0.00079012,0.00079012,0.00079012
108,859.786,0.69754,1.53416,1.17092,0.89353,0.89722,0.8938,0.65811,1.0569,2.62373,1.27991,0.00078814,0.00078814,0.00078814
109,867.647,0.67562,1.43225,1.16346,0.89769,0.92222,0.89765,0.66346,1.01719,2.35336,1.23724,0.00078616,0.00078616,0.00078616
110,875.405,0.67295,1.50198,1.15695,0.90802,0.92222,0.90682,0.6856,0.98858,2.32698,1.18457,0.00078418,0.00078418,0.00078418
111,883.299,0.67826,1.4519,1.17172,0.85954,0.92222,0.90185,0.68475,1.00556,2.36649,1.15457,0.0007822,0.0007822,0.0007822
112,891.022,0.67707,1.45653,1.15663,0.83864,0.86561,0.90789,0.66016,1.0428,2.54937,1.15816,0.00078022,0.00078022,0.00078022
113,898.784,0.65201,1.44693,1.15594,0.83533,0.8772,0.9037,0.64417,1.04481,2.5596,1.19908,0.00077824,0.00077824,0.00077824
114,906.525,0.69383,1.50735,1.19305,0.87241,0.85191,0.88043,0.63648,1.02071,2.62966,1.21017,0.00077626,0.00077626,0.00077626
